trial,observer,date,time,location,treatment,conspecificsIn1m,tailPresent,tailColor,initialPosition,sizecm,percentFoliage,windBeaufort,preHopN,preLookN,preOutOfSightN,preRunN,preWalkN,preOutOfSightTT,preHopRate,preLookRate,preRunRate,preWalkRate,preLocomotionRate,post15HopN,post15LookN,post15OutOfSightN,post15RunN,post15WalkN,post15OutOfSightTT,post15HopRate,post15LookRate,post15RunRate,post15WalkRate,post15LocomotionRate,lookRateDiff,locomotionRateDiff,SD,AD,FID,comments
62,MW,01_24_20,818, Road,white,0,Y,1,leaf,1.9,0.8,0,0,1,0,0,0,0,0,0.033333333,0,0,0,1,6,1,0,0,5980,0.110864745,0.66518847,0,0,0.110864745,0.631855137,0.110864745,470,NA,NA,flushed during post
63,MW,01_24_20,834, Road,silent,0,Y,2,branch,2,1,0,0,18,0,0,3,0,0,0.6,0,0.1,0.1,0,7,0,0,0,0,0,0.466666667,0,0,0,-0.133333333,-0.1,360,NA,330,
64,MW,01_24_20,859, Road,white,0,Y,3,branch,3,1,0,0,4,0,0,0,0,0,0.133333333,0,0,0,0,3,0,0,1,0,0,0.2,0,0.066666667,0.066666667,0.066666667,0.066666667,302,199,148,
65,MW,01_24_20,932, Road,silent,0,Y,2,leaf,3,0.8,0,0,3,0,0,0,0,0,0.1,0,0,0,0,5,0,0,1,0,0,0.333333333,0,0.066666667,0.066666667,0.233333333,0.066666667,330,NA,168,
66,MW,01_24_20,946, Road,white,0,Y,2,branch,2.5,0.9,0,0,5,0,0,3,0,0,0.166666667,0,0.1,0.1,0,1,1,0,1,13456,0,0.647668394,0,0.647668394,0.647668394,0.481001727,0.547668394,350,NA,NA,flushed during post
67,MW,01_24_20,1030, Road,silent,0,Y,2,leaf,2,0.9,0,0,1,0,0,1,0,0,0.033333333,0,0.033333333,0.033333333,0,4,0,0,0,0,0,0.266666667,0,0,0,0.233333333,-0.033333333,300,NA,237,
68,MW,01_24_20,1118, Road,white,0,Y,2,leaf,1.9,0.9,0,1,5,0,0,3,0,0.033333333,0.166666667,0,0.1,0.133333333,0,6,0,0,1,0,0,0.4,0,0.066666667,0.066666667,0.233333333,-0.066666667,299,NA,250,
69,MW,01_24_20,1359, Juice Factory,silent,0,Y,3,rock,3,0.8,0,0,8,0,0,2,0,0,0.266666667,0,0.066666667,0.066666667,0,5,0,0,1,0,0,0.333333333,0,0.066666667,0.066666667,0.066666667,0,371,NA,231,
70,MW,01_26_20,858, Pineapple Plantation,white,0,Y,2,litter,1.5,0.4,0,0,7,0,0,6,0,0,0.233333333,0,0.2,0.2,0,5,0,0,1,0,0,0.333333333,0,0.066666667,0.066666667,0.1,-0.133333333,360,NA,113,
71,MW,01_26_20,920, Pineapple Plantation,silent,0,Y,1,leaf,3,0.9,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0,0,310,NA,131,
72,MW,01_26_20,1038, Pineapple Plantation,white,0,Y,3,litter,2.5,1,0,0,3,0,0,1,0,0,0.1,0,0.033333333,0.033333333,3,9,0,0,1,0,0.2,0.6,0,0.066666667,0.266666667,0.5,0.233333333,309,NA,192,
73,MW,01_26_20,1118, Pineapple Plantation,silent,0,Y,1,litter,3.5,0.4,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,296,NA,176,
74,MW,01_26_20,1134, Pineapple Plantation,white,0,Y,1,litter,2.5,0.5,0,0,7,1,0,2,1972,0,0.24975025,0,0.071357214,0.071357214,0,3,0,0,0,0,0,0.2,0,0,0,-0.04975025,-0.071357214,250,NA,130,
75,MW,01_26_20,1346, Pineapple Plantation,white,0,Y,2,litter,1.5,0.6,0,0,2,0,0,1,0,0,0.066666667,0,0.033333333,0.033333333,0,2,0,0,0,0,0,0.133333333,0,0,0,0.066666667,-0.033333333,310,NA,240,
76,MW,01_26_20,1437, Pineapple Plantation,silent,0,Y,2,litter,1.5,0.4,1,0,4,0,0,1,0,0,0.133333333,0,0.033333333,0.033333333,0,4,0,0,0,0,0,0.266666667,0,0,0,0.133333333,-0.033333333,276,NA,209,
77,MW,01_28_20,748, Gump,white,0,Y,2,branch,2,0.6,0,1,10,0,0,5,0,0.033333333,0.333333333,0,0.166666667,0.2,1,4,0,0,1,0,0.066666667,0.266666667,0,0.066666667,0.133333333,-0.066666667,-0.066666667,298,NA,70,
78,MW,01_28_20,820, Juice Factory,white,1,Y,3,litter,2,0.7,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,3,0,0,0,0,0,0.2,0,0,0,0.033333333,0,287,NA,93,
79,MW,01_28_20,913, Juice Factory,white,1,Y,2,rock,2.5,0.8,0,0,9,0,0,0,0,0,0.3,0,0,0,0,7,1,0,2,4230,0,0.649953575,0,0.185701021,0.185701021,0.349953575,0.185701021,250,NA,NA,
80,MW,01_28_20,941, Juice Factory,white,0,Y,2,litter,2,1,0,0,3,1,0,1,1944,0,0.106928999,0,0.035643,0.035643,0,5,1,0,2,1395,0,0.367511944,0,0.147004778,0.147004778,0.260582945,0.111361778,301,NA,147,
81,MW,01_28_20,954, Juice Factory,silent,0,Y,2,litter,3.5,0.8,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,3,0,0,1,0,0,0.2,0,0.066666667,0.066666667,0.033333333,0.066666667,393,NA,260,
82,MW,01_28_20,1003, Juice Factory,white,0,Y,1,litter,2.5,0.8,0,1,7,0,0,7,0,0.033333333,0.233333333,0,0.233333333,0.266666667,0,0,1,0,1,12424,0,0,0,0.388198758,0.388198758,-0.233333333,0.121532091,290,NA,NA,flushed during post
83,MW,01_28_20,1011, Juice Factory,silent,0,Y,2,litter,2,1,0,0,3,0,0,0,0,0,0.1,0,0,0,0,10,0,0,2,0,0,0.666666667,0,0.133333333,0.133333333,0.566666667,0.133333333,282,NA,119,
84,MW,01_28_20,1339, Pineapple Plantation,white,0,Y,1,litter,2.5,0.4,0,0,7,0,0,2,0,0,0.233333333,0,0.066666667,0.066666667,0,2,0,0,0,0,0,0.133333333,0,0,0,-0.1,-0.066666667,340,NA,183,
85,MW,01_28_20,1406, Pineapple Plantation,silent,0,Y,1,litter,1.5,0.7,0,0,7,0,0,0,0,0,0.233333333,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,-0.1,0,262,NA,145,
